Profile Name	Race	Aggression	Uncertainty	Minimum Attack Strength	Build Farm at left food	first expansion time	second expansion time	strategy persistence	influences number of factories built	Taunt Rate	Expansion Target Bonus	Hard coded AI target bonus	Hard coded AI target rate	Surrender Value	Favorite ELF Hero	Favorite HUMAN Hero	Favorite ORC Hero	Favorite UNDEAD Hero	Favorite Neutral Hero	Favorite ELF Unit	Favorite HUMAN Unit	Favorite ORC Unit	Favorite UNDEAD Unit
Hunter	RANDOM	-10	10	4	6	-5	10	1000	0.9	1	7	5	0.5	3	MOON_CHICK	ARCHMAGE	FAR_SEER	DEATH_KNIGHT	0	HUNTRESS	GRYPHON	GRUNT	GHOUL
Who	RANDOM	5	5	2	5	4	-8	780	1	1	8	4	0.4	1	WARDEN	ARCHMAGE	FAR_SEER	DEATH_KNIGHT	0	ARCHER	KNIGHT	GRUNT	GHOUL
Nicker	RANDOM	-6	7	4	7	7	12	850	0.9	1	12	6	0.6	2	DEMON_HUNTER	MTN_KING	BLADE_MASTER	DEATH_KNIGHT	0	HUNTRESS	KNIGHT	WYVERN	GHOUL
Tod	RANDOM	-8	8	4	6	7	12	900	0.9	1	5	4	0.4	2	MOON_CHICK	ARCHMAGE	FAR_SEER	LICH	0	HUNTRESS	GRYPHON	GRUNT	CRYPT_FIEND
Hawk	RANDOM	-2	6	3	7	-8	15	800	1	1	12	7	0.3	1	KEEPER	ARCHMAGE	BLADE_MASTER	DEATH_KNIGHT	0	HUNTRESS	RIFLEMAN	GRUNT	GHOUL
Foggy	RANDOM	-15	4	6	8	6	16	1000	0.9	1	3	3	0.8	4	WARDEN	MTN_KING	BLADE_MASTER	DEATH_KNIGHT	0	ARCHER	MORTAR	GRUNT	GHOUL
Yumiko	RANDOM	-9	5	4	7	6	18	900	0.9	1	8	6	0.5	0	DEMON_HUNTER	ARCHMAGE	FAR_SEER	DEATH_KNIGHT	0	HUNTRESS	KNIGHT	GRUNT	GHOUL
Chamiko	RANDOM	-10	7	5	6	8	13	800	0.9	1	7	7	0.6	3	MOON_CHICK	ARCHMAGE	FAR_SEER	DEATH_KNIGHT	0	HUNTRESS	GRYPHON	CATAPULT	CRYPT_FIEND
Cash	RANDOM	-11	4	4	5	9	12	1100	1	1	7	3	0.5	2	KEEPER	MTN_KING	FAR_SEER	LICH	0	HUNTRESS	KNIGHT	WYVERN	NECRO
Life	RANDOM	-11	5	5	5	7	14	1050	1	1	8	4	0.5	2	WARDEN	ARCHMAGE	FAR_SEER	DEATH_KNIGHT	0	DRYAD	RIFLEMAN	TAUREN	CRYPT_FIEND
WFZ	RANDOM	-7	9	3	8	9	12	700	0.95	1	12	5	0.6	2	DEMON_HUNTER	ARCHMAGE	BLADE_MASTER	DEATH_KNIGHT	0	HUNTRESS	KNIGHT	GRUNT	CRYPT_FIEND
Yumiko	RANDOM	-7	8	4	6	-9	12	800	0.9	1	11	6	0.4	2	KEEPER	ARCHMAGE	BLADE_MASTER	DEATH_KNIGHT	0	ARCHER	GRYPHON	GRUNT	GHOUL
Lucifer	RANDOM	-9	11	4	6	8	17	700	1	1	5	8	0.6	3	MOON_CHICK	ARCHMAGE	FAR_SEER	DEATH_KNIGHT	0	HUNTRESS	RIFLEMAN	HEAD_HUNTER	GHOUL
Remind	RANDOM	-11	12	3	7	7	17	700	0.85	1	6	6	0.7	1	KEEPER	ARCHMAGE	BLADE_MASTER	DEATH_KNIGHT	0	HUNTRESS	MORTAR	GRUNT	FROST_WYRM
Soccer	RANDOM	-8	8	5	5	6	12	800	1	1	7	7	0.6	4	WARDEN	MTN_KING	FAR_SEER	DEATH_KNIGHT	0	DRYAD	KNIGHT	WYVERN	NECRO
Sojo	RANDOM	-9	7	4	7	8	14	900	1.05	1	5	8	0.5	2	DEMON_HUNTER	ARCHMAGE	FAR_SEER	LICH	0	HUNTRESS	GRYPHON	CATAPULT	CRYPT_FIEND
Gostop	RANDOM	-8	9	5	6	-8	15	850	0.85	1	8	5	0.4	3	KEEPER	ARCHMAGE	FAR_SEER	DEATH_KNIGHT	0	DRUID_CLAW	RIFLEMAN	WYVERN	GHOUL
Sky	RANDOM	8	2	3	7	-8	9	800	1	1	12	7	0.9	1	KEEPER	ARCHMAGE	FAR_SEER	DEATH_KNIGHT	0	HUNTRESS	RIFLEMAN	HEAD_HUNTER	NECRO
Moon	RANDOM	9	2	2	7	3	8	800	0.95	1	12	7	0.9	1	DEMON_HUNTER	ARCHMAGE	FAR_SEER	DEATH_KNIGHT	0	DRYAD	RIFLEMAN	WYVERN	NECRO
Infi	RANDOM	7	3	4	7	-5	4	760	1	1	11	7	0.9	1	WARDEN	ARCHMAGE	BLADE_MASTER	DEATH_KNIGHT	0	DRUID_CLAW	RIFLEMAN	TAUREN	NECRO
Th000	RANDOM	7	3	3	7	-5	4	800	1	1	11	7	0.8	1	DEMON_HUNTER	MTN_KING	BLADE_MASTER	DEATH_KNIGHT	0	HUNTRESS	GRYPHON	WYVERN	NECRO
Grubby	RANDOM	8	2	2	7	3	5	780	0.95	1	12	7	0.8	1	KEEPER	ARCHMAGE	FAR_SEER	DEATH_KNIGHT	0	HUNTRESS	GRYPHON	GRUNT	GHOUL
Lyn	RANDOM	8	3	3	6	4	4	700	0.9	1	10	7	0.8	1	WARDEN	ARCHMAGE	FAR_SEER	DEATH_KNIGHT	0	HUNTRESS	RIFLEMAN	HEAD_HUNTER	GHOUL
Zacard	RANDOM	7	3	3	6	5	5	800	0.95	1	10	7	0.7	1	KEEPER	ARCHMAGE	BLADE_MASTER	DEATH_KNIGHT	0	HUNTRESS	MORTAR	GRUNT	FROST_WYRM
Ted	RANDOM	8	3	3	7	6	4	600	1	2	11	7	0.7	1	WARDEN	MTN_KING	FAR_SEER	DEATH_KNIGHT	0	DRYAD	KNIGHT	WYVERN	NECRO
Happy	RANDOM	7	3	4	7	6	5	600	1	2	10	7	0.7	0	DEMON_HUNTER	MTN_KING	FAR_SEER	DEATH_KNIGHT	0	HUNTRESS	GRYPHON	CATAPULT	FROST_WYRM
Focus	RANDOM	7	3	3	6	5	4	720	0.9	1	10	5	0.7	1	KEEPER	ARCHMAGE	FAR_SEER	DEATH_KNIGHT	0	DRUID_CLAW	RIFLEMAN	WYVERN	CRYPT_FIEND
Iam120	RANDOM	7	3	3	6	5	4	600	0.9	1	10	6	0.7	1	DEMON_HUNTER	MTN_KING	FAR_SEER	DEATH_KNIGHT	0	HUNTRESS	KNIGHT	HEAD_HUNTER	CRYPT_FIEND
Lawliet	RANDOM	7	3	4	7	5	4	700	1	1	12	8	0.7	2	KEEPER	MTN_KING	BLADE_MASTER	DEATH_KNIGHT	0	CHIMAERA	KNIGHT	WYVERN	FROST_WYRM
Fly	RANDOM	6	4	5	7	5	12	600	0.9	1	12	7	0.7	1	DEMON_HUNTER	ARCHMAGE	BLADE_MASTER	DEATH_KNIGHT	0	DRYAD	KNIGHT	GRUNT	FROST_WYRM
Indecent	RANDOM	-10	4	5	5	-8	-12	900	1	0.5	8	10	0.5	3	DEMON_HUNTER	MTN_KING	BLADE_MASTER	DEATH_KNIGHT	0	HUNTRESS	GRYPHON	GRUNT	NECRO
